Script Execution Time: 60.30 seconds | Mappers: 3 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 17:38:22
Script Execution Time: 58.80 seconds | Mappers: 3 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 17:39:23
Script Execution Time: 62.37 seconds | Mappers: 3 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 17:40:28
Script Execution Time: 62.56 seconds | Mappers: 3 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 17:41:33
Script Execution Time: 61.52 seconds | Mappers: 3 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 17:42:37
Script Execution Time: 61.39 seconds | Mappers: 3 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 17:43:41
Script Execution Time: 63.52 seconds | Mappers: 3 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 17:44:47
Script Execution Time: 74.53 seconds | Mappers: 4 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 17:46:04
Script Execution Time: 64.49 seconds | Mappers: 4 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 17:47:10
Script Execution Time: 54.73 seconds | Mappers: 4 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 17:48:08
Script Execution Time: 54.35 seconds | Mappers: 4 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 17:49:04
Script Execution Time: 51.24 seconds | Mappers: 4 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 17:49:58
Script Execution Time: 51.32 seconds | Mappers: 4 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 17:50:52
Script Execution Time: 51.42 seconds | Mappers: 4 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 17:51:45
Script Execution Time: 52.37 seconds | Mappers: 4 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 17:52:40
Script Execution Time: 51.41 seconds | Mappers: 4 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 17:53:34
Script Execution Time: 51.50 seconds | Mappers: 4 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 17:54:28
Script Execution Time: 54.53 seconds | Mappers: 4 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 17:55:25
Script Execution Time: 54.48 seconds | Mappers: 4 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 17:56:22
Script Execution Time: 52.30 seconds | Mappers: 4 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 17:57:16
Script Execution Time: 54.46 seconds | Mappers: 4 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 17:58:13
Script Execution Time: 51.47 seconds | Mappers: 4 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 17:59:07
Script Execution Time: 54.40 seconds | Mappers: 4 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 18:00:04
Script Execution Time: 55.42 seconds | Mappers: 4 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 18:01:01
Script Execution Time: 53.21 seconds | Mappers: 4 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 18:01:57
Script Execution Time: 54.55 seconds | Mappers: 4 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 18:02:54
Script Execution Time: 55.49 seconds | Mappers: 4 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 18:03:52
Script Execution Time: 72.45 seconds | Mappers: 5 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 18:05:07
Script Execution Time: 62.41 seconds | Mappers: 5 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 18:06:12
Script Execution Time: 53.32 seconds | Mappers: 5 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 18:07:07
Script Execution Time: 53.56 seconds | Mappers: 5 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 18:08:03
Script Execution Time: 48.54 seconds | Mappers: 5 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 18:08:54
Script Execution Time: 46.68 seconds | Mappers: 5 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 18:09:43
Script Execution Time: 46.60 seconds | Mappers: 5 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 18:10:32
Script Execution Time: 49.42 seconds | Mappers: 5 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 18:11:24
Script Execution Time: 50.36 seconds | Mappers: 5 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 18:12:17
Script Execution Time: 49.52 seconds | Mappers: 5 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 18:13:09
Script Execution Time: 49.41 seconds | Mappers: 5 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 18:14:00
Script Execution Time: 50.29 seconds | Mappers: 5 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 18:14:53
Script Execution Time: 48.28 seconds | Mappers: 5 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 18:15:44
Script Execution Time: 47.38 seconds | Mappers: 5 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 18:16:33
Script Execution Time: 49.49 seconds | Mappers: 5 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 18:17:25
Script Execution Time: 50.47 seconds | Mappers: 5 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 18:18:18
Script Execution Time: 51.34 seconds | Mappers: 5 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 18:19:12
Script Execution Time: 51.44 seconds | Mappers: 5 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 18:20:06
Script Execution Time: 51.20 seconds | Mappers: 5 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 18:20:59
Script Execution Time: 53.54 seconds | Mappers: 5 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 18:21:55
Script Execution Time: 70.57 seconds | Mappers: 6 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 18:23:08
Script Execution Time: 55.29 seconds | Mappers: 6 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 18:24:06
Script Execution Time: 48.51 seconds | Mappers: 6 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 18:24:57
Script Execution Time: 50.26 seconds | Mappers: 6 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 18:25:49
Script Execution Time: 43.32 seconds | Mappers: 6 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 18:26:35
Script Execution Time: 43.52 seconds | Mappers: 6 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 18:27:21
Script Execution Time: 44.35 seconds | Mappers: 6 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 18:28:07
Script Execution Time: 46.36 seconds | Mappers: 6 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 18:28:56
Script Execution Time: 46.37 seconds | Mappers: 6 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 18:29:45
Script Execution Time: 46.39 seconds | Mappers: 6 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 18:30:34
Script Execution Time: 47.54 seconds | Mappers: 6 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 18:31:24
Script Execution Time: 47.49 seconds | Mappers: 6 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 18:32:13
Script Execution Time: 45.44 seconds | Mappers: 6 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 18:33:01
Script Execution Time: 47.34 seconds | Mappers: 6 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 18:33:51
Script Execution Time: 46.71 seconds | Mappers: 6 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 18:34:40
Script Execution Time: 45.52 seconds | Mappers: 6 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 18:35:28
Script Execution Time: 48.36 seconds | Mappers: 6 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 18:36:19
Script Execution Time: 47.35 seconds | Mappers: 6 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 18:37:08
Script Execution Time: 48.44 seconds | Mappers: 6 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 18:37:59
Script Execution Time: 48.35 seconds | Mappers: 6 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 18:38:50
Script Execution Time: 68.37 seconds | Mappers: 7 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 18:40:01
Script Execution Time: 54.52 seconds | Mappers: 7 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 18:40:57
Script Execution Time: 49.45 seconds | Mappers: 7 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 18:41:49
Script Execution Time: 48.51 seconds | Mappers: 7 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 18:42:40
Script Execution Time: 43.36 seconds | Mappers: 7 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 18:43:26
Script Execution Time: 42.24 seconds | Mappers: 7 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 18:44:10
Script Execution Time: 42.48 seconds | Mappers: 7 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 18:44:55
Script Execution Time: 42.43 seconds | Mappers: 7 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 18:45:40
Script Execution Time: 43.26 seconds | Mappers: 7 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 18:46:26
Script Execution Time: 43.31 seconds | Mappers: 7 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 18:47:11
Script Execution Time: 45.34 seconds | Mappers: 7 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 18:47:59
Script Execution Time: 45.53 seconds | Mappers: 7 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 18:48:47
Script Execution Time: 44.41 seconds | Mappers: 7 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 18:49:34
Script Execution Time: 44.44 seconds | Mappers: 7 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 18:50:21
Script Execution Time: 43.19 seconds | Mappers: 7 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 18:51:06
Script Execution Time: 45.46 seconds | Mappers: 7 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 18:51:54
Script Execution Time: 46.43 seconds | Mappers: 7 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 18:52:43
Script Execution Time: 45.34 seconds | Mappers: 7 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 18:53:31
Script Execution Time: 48.45 seconds | Mappers: 7 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 18:54:21
Script Execution Time: 49.24 seconds | Mappers: 7 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 18:55:13
Script Execution Time: 66.42 seconds | Mappers: 8 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 18:56:22
Script Execution Time: 53.50 seconds | Mappers: 8 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 18:57:17
Script Execution Time: 47.37 seconds | Mappers: 8 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 18:58:07
Script Execution Time: 45.44 seconds | Mappers: 8 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 18:58:55
Script Execution Time: 41.75 seconds | Mappers: 8 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 18:59:39
Script Execution Time: 41.63 seconds | Mappers: 8 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 19:00:23
Script Execution Time: 39.31 seconds | Mappers: 8 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 19:01:05
Script Execution Time: 40.40 seconds | Mappers: 8 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 19:01:48
Script Execution Time: 42.45 seconds | Mappers: 8 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 19:02:32
Script Execution Time: 42.20 seconds | Mappers: 8 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 19:03:17
Script Execution Time: 43.27 seconds | Mappers: 8 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 19:04:03
Script Execution Time: 44.59 seconds | Mappers: 8 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 19:04:50
Script Execution Time: 40.35 seconds | Mappers: 8 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 19:05:32
Script Execution Time: 42.26 seconds | Mappers: 8 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 19:06:17
Script Execution Time: 42.34 seconds | Mappers: 8 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 19:07:02
Script Execution Time: 43.34 seconds | Mappers: 8 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 19:07:47
Script Execution Time: 46.21 seconds | Mappers: 8 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 19:08:36
Script Execution Time: 44.31 seconds | Mappers: 8 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 19:09:23
Script Execution Time: 44.44 seconds | Mappers: 8 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 19:10:10
Script Execution Time: 45.36 seconds | Mappers: 8 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 19:10:57
Script Execution Time: 66.70 seconds | Mappers: 9 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 19:12:06
Script Execution Time: 53.44 seconds | Mappers: 9 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 19:13:02
Script Execution Time: 45.45 seconds | Mappers: 9 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 19:13:50
Script Execution Time: 43.19 seconds | Mappers: 9 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 19:14:35
Script Execution Time: 41.49 seconds | Mappers: 9 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 19:15:19
Script Execution Time: 39.33 seconds | Mappers: 9 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 19:16:01
Script Execution Time: 37.40 seconds | Mappers: 9 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 19:16:41
Script Execution Time: 40.45 seconds | Mappers: 9 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 19:17:24
Script Execution Time: 39.45 seconds | Mappers: 9 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 19:18:06
Script Execution Time: 42.18 seconds | Mappers: 9 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 19:18:50
Script Execution Time: 43.28 seconds | Mappers: 9 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 19:19:36
Script Execution Time: 43.23 seconds | Mappers: 9 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 19:20:21
Script Execution Time: 41.23 seconds | Mappers: 9 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 19:21:05
Script Execution Time: 42.18 seconds | Mappers: 9 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 19:21:50
Script Execution Time: 41.40 seconds | Mappers: 9 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 19:22:33
Script Execution Time: 42.49 seconds | Mappers: 9 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 19:23:18
Script Execution Time: 43.33 seconds | Mappers: 9 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 19:24:04
