Script Execution Time: 61.43 seconds | Mappers: 3 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 11:38:18
Script Execution Time: 61.18 seconds | Mappers: 3 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 11:39:22
Script Execution Time: 58.45 seconds | Mappers: 3 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 11:40:22
Script Execution Time: 60.42 seconds | Mappers: 3 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 11:41:25
Script Execution Time: 58.28 seconds | Mappers: 3 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 11:42:26
Script Execution Time: 60.49 seconds | Mappers: 3 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 11:43:29
Script Execution Time: 60.43 seconds | Mappers: 3 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 11:44:32
Script Execution Time: 60.46 seconds | Mappers: 3 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 11:45:35
Script Execution Time: 62.33 seconds | Mappers: 3 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 11:46:39
Script Execution Time: 60.49 seconds | Mappers: 3 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 11:47:42
Script Execution Time: 78.40 seconds | Mappers: 4 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 11:49:03
Script Execution Time: 65.45 seconds | Mappers: 4 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 11:50:11
Script Execution Time: 54.56 seconds | Mappers: 4 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 11:51:07
Script Execution Time: 54.40 seconds | Mappers: 4 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 11:52:04
Script Execution Time: 52.39 seconds | Mappers: 4 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 11:52:59
Script Execution Time: 54.43 seconds | Mappers: 4 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 11:53:56
Script Execution Time: 51.23 seconds | Mappers: 4 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 11:54:49
Script Execution Time: 51.31 seconds | Mappers: 4 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 11:55:43
Script Execution Time: 51.23 seconds | Mappers: 4 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 11:56:37
Script Execution Time: 51.55 seconds | Mappers: 4 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 11:57:31
Script Execution Time: 54.60 seconds | Mappers: 4 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 11:58:28
Script Execution Time: 54.46 seconds | Mappers: 4 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 11:59:24
Script Execution Time: 53.49 seconds | Mappers: 4 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 12:00:20
Script Execution Time: 53.31 seconds | Mappers: 4 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 12:01:16
Script Execution Time: 53.40 seconds | Mappers: 4 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 12:02:12
Script Execution Time: 53.56 seconds | Mappers: 4 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 12:03:07
Script Execution Time: 54.46 seconds | Mappers: 4 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 12:04:04
Script Execution Time: 56.42 seconds | Mappers: 4 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 12:05:03
Script Execution Time: 53.47 seconds | Mappers: 4 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 12:05:59
Script Execution Time: 55.28 seconds | Mappers: 4 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 12:06:57
Script Execution Time: 75.93 seconds | Mappers: 5 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 12:08:15
Script Execution Time: 62.54 seconds | Mappers: 5 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 12:09:20
Script Execution Time: 53.41 seconds | Mappers: 5 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 12:10:16
Script Execution Time: 52.29 seconds | Mappers: 5 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 12:11:10
Script Execution Time: 49.39 seconds | Mappers: 5 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 12:12:02
Script Execution Time: 50.34 seconds | Mappers: 5 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 12:12:55
Script Execution Time: 47.47 seconds | Mappers: 5 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 12:13:45
Script Execution Time: 49.73 seconds | Mappers: 5 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 12:14:37
Script Execution Time: 48.65 seconds | Mappers: 5 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 12:15:28
Script Execution Time: 49.42 seconds | Mappers: 5 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 12:16:20
Script Execution Time: 50.53 seconds | Mappers: 5 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 12:17:12
Script Execution Time: 51.52 seconds | Mappers: 5 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 12:18:06
Script Execution Time: 48.40 seconds | Mappers: 5 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 12:18:57
Script Execution Time: 50.38 seconds | Mappers: 5 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 12:19:50
Script Execution Time: 49.28 seconds | Mappers: 5 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 12:20:42
Script Execution Time: 47.28 seconds | Mappers: 5 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 12:21:31
Script Execution Time: 51.47 seconds | Mappers: 5 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 12:22:25
Script Execution Time: 50.36 seconds | Mappers: 5 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 12:23:18
Script Execution Time: 51.27 seconds | Mappers: 5 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 12:24:12
Script Execution Time: 53.35 seconds | Mappers: 5 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 12:25:07
Script Execution Time: 69.66 seconds | Mappers: 6 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 12:26:19
Script Execution Time: 56.41 seconds | Mappers: 6 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 12:27:18
Script Execution Time: 48.23 seconds | Mappers: 6 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 12:28:09
Script Execution Time: 49.33 seconds | Mappers: 6 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 12:29:00
Script Execution Time: 43.48 seconds | Mappers: 6 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 12:29:46
Script Execution Time: 45.36 seconds | Mappers: 6 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 12:30:34
Script Execution Time: 44.42 seconds | Mappers: 6 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 12:31:21
Script Execution Time: 44.45 seconds | Mappers: 6 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 12:32:07
Script Execution Time: 45.45 seconds | Mappers: 6 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 12:32:55
