Script Execution Time: 163.86 seconds | Mappers: 3 | Reducers: 10 | Combiner Used: No | Input File: 1000x | Current Time: 12:33:20
Script Execution Time: 172.90 seconds | Mappers: 3 | Reducers: 11 | Combiner Used: No | Input File: 1000x | Current Time: 12:36:16
Script Execution Time: 187.08 seconds | Mappers: 3 | Reducers: 12 | Combiner Used: No | Input File: 1000x | Current Time: 12:39:25
Script Execution Time: 148.79 seconds | Mappers: 3 | Reducers: 13 | Combiner Used: No | Input File: 1000x | Current Time: 12:41:56
Script Execution Time: 169.92 seconds | Mappers: 3 | Reducers: 14 | Combiner Used: No | Input File: 1000x | Current Time: 12:44:48
Script Execution Time: 151.04 seconds | Mappers: 3 | Reducers: 15 | Combiner Used: No | Input File: 1000x | Current Time: 12:47:22
Script Execution Time: 155.02 seconds | Mappers: 3 | Reducers: 16 | Combiner Used: No | Input File: 1000x | Current Time: 12:49:59
Script Execution Time: 153.94 seconds | Mappers: 3 | Reducers: 17 | Combiner Used: No | Input File: 1000x | Current Time: 12:52:36
Script Execution Time: 153.81 seconds | Mappers: 3 | Reducers: 18 | Combiner Used: No | Input File: 1000x | Current Time: 12:55:12
Script Execution Time: 149.81 seconds | Mappers: 3 | Reducers: 19 | Combiner Used: No | Input File: 1000x | Current Time: 12:57:44
Script Execution Time: 160.81 seconds | Mappers: 3 | Reducers: 20 | Combiner Used: No | Input File: 1000x | Current Time: 13:00:27
Script Execution Time: 411.74 seconds | Mappers: 4 | Reducers: 1 | Combiner Used: No | Input File: 1000x | Current Time: 13:07:21
Script Execution Time: 292.23 seconds | Mappers: 4 | Reducers: 2 | Combiner Used: No | Input File: 1000x | Current Time: 13:12:16
Script Execution Time: 215.62 seconds | Mappers: 4 | Reducers: 3 | Combiner Used: No | Input File: 1000x | Current Time: 13:15:54
Script Execution Time: 217.06 seconds | Mappers: 4 | Reducers: 4 | Combiner Used: No | Input File: 1000x | Current Time: 13:19:33
Script Execution Time: 170.88 seconds | Mappers: 4 | Reducers: 5 | Combiner Used: No | Input File: 1000x | Current Time: 13:22:26
Script Execution Time: 176.97 seconds | Mappers: 4 | Reducers: 6 | Combiner Used: No | Input File: 1000x | Current Time: 13:25:26
Script Execution Time: 163.95 seconds | Mappers: 4 | Reducers: 7 | Combiner Used: No | Input File: 1000x | Current Time: 13:28:12
Script Execution Time: 178.77 seconds | Mappers: 4 | Reducers: 8 | Combiner Used: No | Input File: 1000x | Current Time: 13:31:13
Script Execution Time: 157.82 seconds | Mappers: 4 | Reducers: 9 | Combiner Used: No | Input File: 1000x | Current Time: 13:33:54
Script Execution Time: 161.87 seconds | Mappers: 4 | Reducers: 10 | Combiner Used: No | Input File: 1000x | Current Time: 13:36:38
Script Execution Time: 173.95 seconds | Mappers: 4 | Reducers: 11 | Combiner Used: No | Input File: 1000x | Current Time: 13:39:34
Script Execution Time: 185.76 seconds | Mappers: 4 | Reducers: 12 | Combiner Used: No | Input File: 1000x | Current Time: 13:42:42
Script Execution Time: 145.92 seconds | Mappers: 4 | Reducers: 13 | Combiner Used: No | Input File: 1000x | Current Time: 13:45:11
Script Execution Time: 165.04 seconds | Mappers: 4 | Reducers: 14 | Combiner Used: No | Input File: 1000x | Current Time: 13:47:58
Script Execution Time: 151.75 seconds | Mappers: 4 | Reducers: 15 | Combiner Used: No | Input File: 1000x | Current Time: 13:50:32
Script Execution Time: 159.89 seconds | Mappers: 4 | Reducers: 16 | Combiner Used: No | Input File: 1000x | Current Time: 13:53:15
Script Execution Time: 162.89 seconds | Mappers: 4 | Reducers: 17 | Combiner Used: No | Input File: 1000x | Current Time: 13:56:00
Script Execution Time: 154.73 seconds | Mappers: 4 | Reducers: 18 | Combiner Used: No | Input File: 1000x | Current Time: 13:58:37
Script Execution Time: 153.01 seconds | Mappers: 4 | Reducers: 19 | Combiner Used: No | Input File: 1000x | Current Time: 14:01:12
Script Execution Time: 160.00 seconds | Mappers: 4 | Reducers: 20 | Combiner Used: No | Input File: 1000x | Current Time: 14:03:55
Script Execution Time: 410.73 seconds | Mappers: 5 | Reducers: 1 | Combiner Used: No | Input File: 1000x | Current Time: 14:10:48
Script Execution Time: 297.53 seconds | Mappers: 5 | Reducers: 2 | Combiner Used: No | Input File: 1000x | Current Time: 14:15:48
